pair_id,story_a_id,story_b_id,ok,error,num_events_a,num_events_b,num_matches,D_alignment,alignment_similarity,D_semantic,semantic_similarity,pred_event_rating_mean_joint
1x53zg__4g4wtc,1x53zg,4g4wtc,True,,2,3,2,0.3333333333333333,0.6666666666666667,0.4224654445424676,0.5775345554575324,2.2570928546751228
9rprs0__3986p3,9rprs0,3986p3,True,,2,1,0,1.0,0.0,1.0,0.0,1.583
5w3bgs__7au7vs,5w3bgs,7au7vs,True,,1,6,0,1.0,0.0,1.0,0.0,1.583
3w07bi__6iaas5,3w07bi,6iaas5,True,,5,5,0,1.0,0.0,1.0,0.0,1.583
2schv9__3wqhqs,2schv9,3wqhqs,True,,5,5,1,0.8,0.19999999999999996,0.4996474757499527,0.5003525242500473,2.090699222397119
3j10zp__9emwqh,3j10zp,9emwqh,True,,5,6,0,1.0,0.0,1.0,0.0,1.583
1ac7q4__32imuk,1ac7q4,32imuk,True,,3,6,0,1.0,0.0,1.0,0.0,1.583
5o26o4__7elzya,5o26o4,7elzya,True,,4,2,1,0.6666666666666666,0.33333333333333337,0.3901929333806038,0.6098070666193962,2.2198654861825204
8ge2ek__25ro35,8ge2ek,25ro35,True,,6,4,0,1.0,0.0,1.0,0.0,1.583
1rc1no__2v9w6p,1rc1no,2v9w6p,True,,1,2,0,1.0,0.0,1.0,0.0,1.583
8i9lfg__8njvt9,8i9lfg,8njvt9,True,,5,5,2,0.6363636363636364,0.36363636363636365,0.32442861795425415,0.6755713820457458,2.287407022783431
4gzg7v__2mevbz,4gzg7v,2mevbz,True,,1,1,0,1.0,0.0,1.0,0.0,1.583
5bjvga__y42hw,5bjvga,y42hw,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
29ua8m__8n3mjd,29ua8m,8n3mjd,True,,2,7,0,1.0,0.0,1.0,0.0,1.583
9dzpzz__29jih0,9dzpzz,29jih0,True,,3,3,0,1.0,0.0,1.0,0.0,1.583
1as6r9__y42hw,1as6r9,y42hw,True,,2,2,0,1.0,0.0,1.0,0.0,1.583
3fp0de__96kqec,3fp0de,96kqec,True,,3,2,0,1.0,0.0,1.0,0.0,1.583
8jdjf5__353ue6,8jdjf5,353ue6,True,,8,5,2,0.6428571428571429,0.3571428571428571,0.3643919304013252,0.6356080695986748,2.2487729476267737
1wbauw__4i5p4t,1wbauw,4i5p4t,True,,5,3,0,1.0,0.0,1.0,0.0,1.583
