PROLIFIC_PID,loop_id,pair_id,full_rating,event_rating,order_group,Q12,Q13,PairID,story_i,story_j,bucket,sim_full,sim_event,FullA,FullB,EventsA,EventsB
62029a55ef1cb18a1337c61a,54,10,3: moderately similar,3: moderately similar,overal_first,"Both sequences deal with a journey of discovering a career path, and how interests and responsibilities change over time","Both stories involve a journey of personal and professional calling, and uncertainty regarding the appropriate path to take",P010,380,493,HH,0.5640166,0.4030427,"I wanted to be an artist when I was in high school , but I actually started in nursing school. We were really poor , and my dad died when I was six , and I saw my mom struggle working in a sewing factory. And I thought , well this is crazy to be a starving artist. I better do something practical. So I went to school for nursing. And photography and me was a better fit. It just felt like a better fit. So, started at the Miami Herald as a staff photographer, just from there moved on to do international stories, so I bounced around a lot. I traveled a whole lot. You know, when you can capture a moment, capture history , I don't know, just preserve that second of time, that's meaningful in some way. If it makes you feel, it's probably gon na make someone else feel too. But those were the moments that I always look for. And I feel like there's all different types of photography that you have to appreciate. You can do all these stylized beautiful perfectly composed pictures , but for me, journalism, I think the only thing that matters is the content in the moment and making someone feel. Because you can make someone think, but to make someone feel is the ultimate goal. The more you can do to connect people, the less hatred there will be in the world, the more understanding there will be.","and I suddenly realized something about science that I hadn't know before which was that if I wanted to be in science I'd have to pick one thing and I liked everything way too much to pick one thing. I really loved writing. I really loved helping students and teaching and I loved art  and with all that known, I kind of went off to Boston University with a vague idea of something communications. I did not know  and it wasn't until I was in my sophomore year and I was taking that first journalism class that they teach and then one day Professor Brand said, "" What are you majoring in? '' And I said, "" I don't know. PR? '' And he said, "" PR?! "" The best people are in journalism , you can do this! You could be in journalism , '' and I thought, "" Wow . '' In hindsight everything has come together almost eerily logically. How did you prepare to take those risks when nothing really felt like it was going to come together? People would say to me, "" Oh newspaper? "" You'll never get a job in a newspaper. Never! '' I thought, ` Why not? It could happen to me , it's as likely as anybody else. ' And then my job is, make it as likely as I can make it by being as good as I can.",My dad died when I was six — I saw my mom struggle working in a sewing factory — I went to school for nursing — I started at the Miami Herald as a staff photographer — I moved on to do international stories — I traveled a whole lot,I realized I had to pick one thing in science — I went to Boston University with a vague idea of something communications — I took the first journalism class in my sophomore year — Professor Brand asked me what I was majoring in — I said I didn't know and suggested PR — Professor Brand encouraged me to pursue journalism
62029a55ef1cb18a1337c61a,81,321,2: slightly similar,2: slightly similar,overal_first,"Both sequences are about a series of actions leading up to an achievement, however the context is slightly different, with Story A about music entrepreneurship and Story B about personal art","Both stories are about individuals pursuing their passion despite uncertainty, however the context is different, with Story A about music whereas Story B is about personal creativity",P321,213,507,LL,0.2523703,0.12933764,"five or six bands, you know, 'cause people would come to me and go , "" Oh we got a band, too . '' And by having the most popular band in St. Louis, which was a band called the . We were-became the radio station's band, which meant they played like 80-100 commercials a week. "" Hey, the , "" we playin ' at 66 Drive-In. '' And it'd be, "" Steve on trumpet [do-do-do-do-do-do ] '' So being the popular band in town , I started booking other bands, 'cause when I was already booked, I didn't see any reason to turn people down. I said, "" Wait a second, let me see if I can get another band. '' Well, that eventually led to booking 1100 bands. So we were the largest band-booking agency in the country , and I was like 18 years old. So went from local bands, regional bands, to national bands. And the first show we did was in 1969 was the Grateful Dead. You guys sitting here all have ideas. Whether you pursue them ot not is up to you. Don't later on look back and say , "" God, I wish "" I would've done that. ''","something with business. I didn't know exactly what I was going to do. My passion wasn't there , but that's where the money was at. And I'm thinking, "" This oughta pay the bills , "" I ` ma have a family. This is what I'm going to do. "" I'm just gon na paint on the side. '' But it got to that point where I couldn't work because I kept hearing that I got to pursue my dream as a, as an artist. That Obama shoe came to me. And I woke up at two o'clock in the morning and I painted that shoe. And I went to the mall and took a picture, put it on MySpace. No big deal. Didn't think nothing of it. And then like the first big thing that happened was the Smithsonian e-mailin ' me and I thought it was a joke. And I cried. I was like, I was almost homeless in January. Like, had I quit, had I quit a month before I made that shoe , had I quit an hour before I made that shoe, and decided, "" I'm just gon na forget about art , '' this would have never happened.",became the radio station's band — played 80-100 commercials a week — started booking other bands — booked 1100 bands — became the largest band-booking agency in the country — did the first show in 1969 with the Grateful Dead,I woke up at two o'clock in the morning — I painted that shoe — I went to the mall and took a picture — I put the picture on MySpace — The Smithsonian emailed me — I cried
62029a55ef1cb18a1337c61a,91,242,3: moderately similar,3: moderately similar,overal_first,"Both stories are about discovering a career path, through exploration, action, and development","Both stories are about a career path journey, diverging from initial expectations to find a meaningful profession through exploration",P242,29,58,LH,0.25639075,0.46331227,"Where were you when you were our age, 22, 23? I was in Chile. I was about to finish college. And I have a bachelor's in linguistics, English linguistics, so I spoke English before i came here. And at that time the only possibility I'd say that was offered to me was to teach English. I was coming from the third world to the first world. I didn't get out of my apartment for about year. And then I came across this ad. They were looking for a coordinator in this place. I think that there are roads for you in life. And if you want to take a different road life is always going to take you back to that one. For example, teaching for me. As soon as I started teaching, I loved it.","I actually had no idea that tech was a thing. I was in my third year studying chemistry and biology. And I had a friend that graduated , and he taught himself how to code. And we were hanging out , and I was just watching him type away at his computer. And I was like, I used to write code when I was eight years old. And had I known that software was a career that was an obtainable thing for me to do , I would have hands down done it much earlier. But I think also even when I was in school, the idea of computer science classes just seemed really intimidating. From a distance, it looks so complex. But then if you actually learn how to code, it's like, every line is actually very simple. Pretty much just, I sunk my teeth in and was like, I got ta just do it until I make it happen. And so from then on, as a professional software engineer, you're building stuff everyday. And they ask me, what do you want to work on? I'm like , I wan na work on something I haven't done before. I mean , I don't know how to do it immediately, but I know how to figure it out.",I was in Chile — I was about to finish college — I spoke English before I came here — I didn't get out of my apartment for about a year — I came across an ad — They were looking for a coordinator — I started teaching — I loved teaching,A friend graduated and taught himself how to code — I watched him type at his computer — I remembered writing code when I was eight years old — I decided to learn to code seriously — I became a professional software engineer
62029a55ef1cb18a1337c61a,97,361,2: slightly similar,1: not similar,overal_first,"Sequence A involves a professional and family-focused theme, whereas Sequence B is about a personal, emotional experience","Both stories are focused on personal growth and finding purpose, but have different contexts. Story A is about education, whereas Story B is about emotions/confidence.",P361,5,580,LL,0.25308183,0.1048246,"So at Alchemy we are taking the concept of chemistry and science and turning them into game based learning tools for students and for instructors, but in a way that allows for experimentation and play. The path was going toward academic chemistry. I was good at chemistry , I was good at research and all that stuff. But I realized that I always liked working with young people. So I actually, in 1994, went and worked at Detroit Country Day School, which is a private school. And started my job there and loved it, and raised my children. They went through the school , they went to U of M. And after that I started sort of feeling like not as connected to my school as it used to be, because my kids were gone. So I started to look for new things and that was the beginning of Alchemy. And if my learning tools can be shown to help students from everywhere get better. And there's like 50 % fail organic chemistry. If I could cut that down to 40 %, I think that would be success. But, this is not an easy path, it's really hard. But if you're solving a problem that you know needs to be solved, then the hurdles don't feel quite so high.","where you weren't truly able to talk about emotions, you know. So writing was my vehicle, the doorway out of there. I worked up the courage to read a poem at an open poetry reading , and I was so insecure that if there was 50 people listening to me and one person yawning, I'd feel like I failed. And I'd see that person yawning , and I'd have to do something else , you know , I'd have to climb on the chair or, go in their face. And one person got up and applauded , and after a year, after a lifetime of no encouragement, that one person applauding was enough to make me feel, have the confidence to find my destiny. Believe in that destiny, that there's something for you , and then someday it's gon na materialize.",went and worked at Detroit Country Day School in 1994 — started my job at Detroit Country Day School — raised my children — my children went through the school — my children went to U of M — started to look for new things — began Alchemy,worked up the courage to read a poem at an open poetry reading — saw one person yawning — did something else by climbing on the chair or going in their face — one person got up and applauded
666f2488909bc0331b8563e6,6,292,1: not similar,1: not similar,overal_first,One is about pivoting careers and one is about making it work in the same career path.,"Although these are both about careers, one is in an interview format, and one is way more about pivoting careers than the other.",P292,373,385,LH,0.21878749,0.40048108,"I was already a pretty avid diver , and enjoyed it enough that I said, well, if I ever don't have a real job or don't like the real job , it's something I'll probably try to pursue full time. So then I came down here to Miami, went to law school, practiced law for about a year and a half. Wasn't really as fulfilling as it needed to be, so at that point I said , I'm gon na fall back on one of my passions and open up a scuba shop. So here we do full service any kinda certification that you would want. It definitely is a much more enjoyable day. So If you think that you like something and you wan na pursue it , pursue it. If it doesn't work out, you've got time for other options. But the last thing that you want is to kind of be stuck in a career for 20, 30 years and hate it.","So going back into the time when you were first starting out and into producing, how is it like coping with being dyslexic and trying to work around that? When I came out and I had this film , I then started looking for jobs and I just was trying to figure out what should be the next step and going for job interviews and I was nervous about working for other people. I was worried that people would find out that there were skills that I really couldn't do. So I shied away from certain things and that led me to people who were being independent filmmakers, because they were more peers  and we were all saying, okay , let's go raise money. Let's go try to do this. And in retrospect, it was great and it sort of lead me down an interesting path , but I think it was partly, cuz I was scared to do the other. I was scared that I would be found out. I think the best thing about having LD that helped me in film is I've never been somebody who assumed you wouldn't make mistakes. I've never thought that anything was gon na be a straight line and that you get there quickly. That's just not how I've learned and how my life ever went in school, certainly. So I think that's sort of applicable to most young people that you have to be willing to assume that might happen to you, but don't you think a lot of LD kids already know that. You're already kinda prepared that, that's gon na be true. So I think if you're not ashamed of that, if you own that, it makes it so much easier.",came down to Miami — went to law school — practiced law for about a year and a half — decided to open up a scuba shop,I came out and had a film — I started looking for jobs — I went for job interviews — I shied away from certain things — I met people who were independent filmmakers — We decided to raise money — We tried to make a film
666f2488909bc0331b8563e6,8,53,2: slightly similar,2: slightly similar,overal_first,They are both about someone's career progression and end with entrepreneurship.,They are both someone talking about their career paths.,P053,81,138,HH,0.43292737,0.43698236,"When I got out of college, I went into the Army Reserve, through the Communications Officer. And ended up back in 89 getting a job working for the Air Force Research Laboratory. At an Engineer and Developing Technology, to make weapons smarter, new technology to be able to kind of carry weapons. And so this whole focus was on creating capability. But when you're in the entrepreneurship world and the commercial world, that's a different mindset. Yeah. See, when I worked for the government. I could spend the government money on my ideas. But I'm out here as an entrepreneur , I have to spend my own money. So that was hard for me, to try to get that switch going on. My approach, and what I always tell people is you have to start connecting, networking. And a lot of people thinks that's hard , but it is not really hard. It's just a matter of meeting people , and let them know what you do or what you wan na do.","I'm a designer and an engineer. And my work has really focused on blending electronics and computing with art and design. I've done a lot of work in combining textiles and fashion with electronics and computer science. So for example, I developed a kit called LilyPad Arduino that lets you sew electronics into your clothes. Kind of robotics, except for soft, stretchy things. So it's like this incredibly mathematically rich thing. But culturally, we don't think of it in those terms. So I think the important thing, or what I needed to do for myself, was discovering I could combine kind of art and design with computer science and with electronics. I just started to play and build stuff with electronics and textiles. And that was really, really fun and really exciting. It was this tremendous a-ha moment where I felt like I could connect all of the crafty stuff that I had always done as a hobby. And then, using that blend as a way to get kind of new communities of people engaged in electronics and computer science.",I got out of college — I went into the Army Reserve through the Communications Officer — I got a job working for the Air Force Research Laboratory — I worked at an Engineer and Developing Technology to make weapons smarter — I tried to get the switch going on from government work to entrepreneurship,Developed a kit called LilyPad Arduino that lets you sew electronics into your clothes — Started to play and build stuff with electronics and textiles — Felt a tremendous a-ha moment connecting crafty hobbies with electronics and computer science
666f2488909bc0331b8563e6,40,133,2: slightly similar,1: not similar,overal_first,One is about career progression and one is about recognizing where one is in their career.,These stories are both about the journey of getting where you want to go in your life.,P133,276,537,HL,0.43568033,0.11087765,"The single worst job I ever had was washing dishes at a hospital in Philadelphia. And I was the guy who was doing the communicable diseases stuff. So I had to wear the heavy gloves, and man, that stuff was just nasty. And so the whenever I started working my way up the ladder, reminding myself of, well, I could be doing that, which was always very helpful. And also I think it helped me to never look down on somebody for what they're doing, because if somebody looked down at me washing those eight patients ' dishes, they would of misjudged me completely. Remember, that anybody who tells you that they kind of woke up and were whoever they were, they're kidding you, right? So everybody gets started somewhere. If somebody figured something out, you can too, cuz they did the hard part. They figured it out the first time, right? And so when we meet with a lot of these folks, just know that where you are right now, that could be you in 10, 20 years. Don't measure yourself in terms of my gosh , I've got so far to go. If you end up not running a marathon anytime soon, my father used to run them. I remember him training , and it was a little bit of time, right? And eventually, you get there. Just know that if you keep plugging away, it will work out, right? I'm a big believer , you do the right things, good things happen.","Like let's say I went out with my husband and we went to dinner and we were meeting people. And they're like, "" Oh, what do you do? '' I was like, "" Oh, I make things. '' And we'd get in the car  and he'd be like, "" Why didn't you say "" you were an artist ? '' And I was like , "" Well, "" you know , I don't know . '' I mean I went to school for it , you know , I make images. But I was just having a hard time I guess accepting that as who I was or what I was going to be. I think I used to really obsess or focus on what I wasn't doing rather than what I was doing. And I think that's a huge... something that can really paralyze you. So I think it's really good to say, "" What am I working on? "" What is great? What am I happy about? "" What am I doing good? '' And to do that and then know that you have a whole life. You'll get there.",The narrator washed dishes at a hospital in Philadelphia. — The narrator wore heavy gloves to handle communicable diseases. — The narrator started working their way up the ladder. — The narrator remembered that they could be doing the dishwashing job. — The narrator recalled their father training to run marathons.,I went out with my husband — We went to dinner — We were meeting people — I said I make things — We got in the car — He asked why I didn't say I was an artist
666f2488909bc0331b8563e6,78,332,1: not similar,1: not similar,overal_first,One is more about personal development and the other is more about professional development.,One of the stories is about someone being true to themselves and the other is about someone's journey into their career.,P332,421,436,LL,0.07549176,0.094611526,"When I was a kid, I used to hide everything, like hide all the terrible details of my life. And kind of pull them close to me and try to make them look like something else to other people when I told the story. Yeah. And I think when I was 17 and I went away to college , I got very tired of trying to keep track of all my lies. So I decided I would never tell a lie again. I got to tired of it , I walked right in to my college roommate , and I just kinda blurted out like, my mother left me when I was a baby , my father doesn't want me and my cousins all tried to rape me. And I'm not a Christian anymore , I don't believe in God, and I'm here on a scholarship. And I don't think she spoke to me again for the rest of the semester , but basically I think that was a valuable accident I happened upon because after that I was just like the tell all girl. The tell too much girl. And I think when I became a lesbian I continued to be that kind of person, telling everyone about it in a culture that was violently homophobic.","My name is David Shotts , I'm the Vice President at Ascend Insurance Brokerage and we work directly with the entertainment industry. So, we work with music venues, music festivals, touring artists, event safety, event security companies. I kinda got into this industry by accident. I was playing in a band  and we were touring the country, and having a lot of fun, and not really thinking about insurance, to be quite honest. My broker said no one knows this industry like you, come to work for me , and I have just kind of found out I was really good at it. It's cool because I'll talk to people and I'll tell them  what I do and most commonly people are like, I didn't even know you could get insurance for that. I think it's kind of the beauty of the industry is that the insurance is everywhere. It doesn't just stop with home, auto, life. So if you're into extreme sports, I know a brokerage in California that focuses on extreme sports. If you're into hunting and fishing, I know underwriters that specialize in that industry. Get an idea of what's out there. If you're sitting there going I'm not quite sure what I wan na do in this industry, that's okay. As I said earlier, there's a lot of opportunity in this industry so feel around.",I went away to college — I decided I would never tell a lie again — I walked right in to my college roommate — I blurted out my personal story to my roommate — My roommate did not speak to me for the rest of the semester — I became a lesbian — I told everyone about being a lesbian in a homophobic culture,David Shotts played in a band — David Shotts toured the country with his band — David Shotts' broker invited him to work for him — David Shotts started working in the insurance industry
695c063ad8348d9dbf6896cb,28,103,3: moderately similar,1: not similar,overal_first,Both sequence basically talk about different things and the only thing that relates them is the fact that they are doing a new job.,The way the used previous experiences to lead into the final point about being about doing what you want to do are very similar even if the actual experience they had are different.,P103,55,536,HL,0.42013732,0.12722895,"I knew during high school that I wanted to study biology and I did try out the research field for a little while. I then took a teaching job in the middle school , and after that, I took a curriculum writing and editing job. You know , I did some good jobs but I did go into them not knowing if okay I'm gon na love this and this is gon na be what I do for the rest of my life. And I think that sometimes young people put that pressure on themselves. I need to know exactly what I'm going to do for the rest of my life and I need to know it now. Yeah. And it's not really realistic , nor do I think that it's necessarily helpful. Just having experiences, those can really help you know who you are and what you want to be about.","I wrote some compositions. You know , as kids do, I just wrote these little things , and my mother put them in for an arts festival in our village. Everybody, in England, every village has an arts festival. And the time came for giving out the awards and prizes. And he held my compositions above his head  and he said, "" These compositions are so bad that not only can I not consider "" them for the competition , that goes without saying, "" but this young man should be discouraged from ever "" composing again . '' That's what he said. So it's important to know what you're after. And then if you know what you're after and you really want it , then you don't look around wondering if you're better or worse than the next person. Because it's not about that. It's about what you want to do.",I tried out the research field for a little while — I took a teaching job in the middle school — I took a curriculum writing and editing job,I wrote some compositions. — My mother put the compositions in for an arts festival. — The time came for giving out the awards and prizes. — He held my compositions above his head. — He said the compositions were so bad that he could not consider them for the competition. — He said I should be discouraged from ever composing again.
695c063ad8348d9dbf6896cb,45,73,2: slightly similar,2: slightly similar,overal_first,They both involve going into entrepreneurship but the first event sequence involves a lot of stuff that sequence B does not have.,"Similar in that they had some similar themes like entrepreneurship qualities but a lot of the structure and the way they arrive to that point are almost completely different. The first story the person is more interesting in making something or building it up, the second person is more focus on charity work.",P073,131,175,HH,0.49057186,0.42456493,"I'm really an early stage person. I love to make the new thing and so as something gets bigger and more structured , I usually hand it off to people and there's people who love to run stuff that's structured. So when I joined Google we were about 1,200 people and when I left we're over 50 or 60,000 people, so it was sort of fly the plane while you're building the plane. I had gone from working in Silicon Valley and working at Google on a lot of topics. It was fun, incredible teammates. And then I was in Africa for some work with some entrepreneurs in Uganda and Kenya and I got an email and it said email from the US CTO. And so 33 days later, President Obama called and offered me the job which was incredible. It's an honor to get to serve your country. So when you're doing this work, know that you belong. We all come with different histories and those histories are culture add. There's this weird idea that Silicon Valley had of culture fit. It's very destructive. I don't want you to fit , I want you to add.","The point of which I decided to be entrepreneur was when talking point just took off. It snowballed from there. So, I have to say my entrepreneurship journey is pretty accidental. Often the public image of an entrepeneur is very glamorous, but actually a lot of my work is not glamorous. And I don't think people see that from the outside. A lot of my role is essentially being a champion. I'm a doer at heart. And it's going from I'm a real doer to I need to delegate or I need to be able to align everyone to get to the same big vision and the big goal. And it's not just me anymore, so kind of a a chicken and an egg where it's both hard and challenging, but exciting.","joined Google when it had about 1,200 people — left Google when it had over 50,000 people — went to Africa for work with entrepreneurs in Uganda and Kenya — received an email from the US CTO — President Obama called and offered the job 33 days later",Talking Point took off — I decided to be an entrepreneur
